ID_Ventas;ID_Canal;ID_Provincia;ID_Ciudad;ID_Empresa;ID_Vendedor;ID_Comprador;ID_Titular;ID_Voucher;Fecha_de_Emisión;ID_Origen;ID_Destino;ID_Producto;ID_Tipo_de_Producto;Inicio_Viaje;Fin_Viaje;ID_Forma_de_Pago
1;3;4;13;30;11;2362;3;96069;2/1/2014;14;1001;200;3;6/1/2014;17/1/2014;12
2;3;4;9;31;12;1853;3;96086;2/1/2014;16;1000;102;3;11/1/2014;28/1/2014;1
3;3;5;15;15;216;820;3;96099;2/1/2014;26;1000;200;3;3/1/2014;20/1/2014;1
4;3;5;15;15;216;3196;2;96115;2/1/2014;26;1000;102;3;4/1/2014;22/1/2014;1
5;13;4;13;1;11;5731;3;96128;2/1/2014;14;1000;200;3;9/1/2014;15/2/2014;12
6;13;4;9;1;11;1652;3;96145;2/1/2014;63;1000;200;3;7/1/2014;14/1/2014;14
7;13;4;13;1;11;4240;3;96158;3/1/2014;14;1002;102;3;5/1/2014;5/2/2014;13
8;3;5;15;15;216;1905;4;96204;3/1/2014;26;1001;400;3;7/1/2014;21/1/2014;1
9;3;5;15;15;216;255;1;96264;3/1/2014;26;1000;200;3;7/1/2014;14/1/2014;1
10;3;5;15;15;216;1996;4;96277;3/1/2014;26;1000;200;3;16/1/2014;24/1/2014;1
11;12;4;9;1;11;5140;3;96281;3/1/2014;30;1000;200;3;5/1/2014;18/1/2014;12
12;3;5;15;15;216;2143;2;96306;6/1/2014;26;1000;200;3;7/1/2014;14/1/2014;1
13;12;4;7;2;13;3855;1;96336;6/1/2014;14;1004;200;3;12/1/2014;21/1/2014;12
14;12;4;9;1;11;1641;3;96349;6/1/2014;14;1000;200;3;10/1/2014;17/1/2014;7
15;13;4;9;1;15;2034;3;96412;7/1/2014;31;1000;403;3;10/1/2014;8/2/2014;1
16;3;4;13;31;11;5166;3;96425;7/1/2014;14;1000;200;3;8/1/2014;16/1/2014;12
17;3;4;12;30;11;2216;3;96438;7/1/2014;14;1000;300;1;7/1/2014;6/1/2015;1
18;13;4;9;1;16;2600;3;96468;7/1/2014;14;1001;403;3;29/3/2014;20/4/2014;1
19;3;5;15;15;216;2899;3;96557;7/1/2014;26;1002;102;3;23/2/2014;6/3/2014;1
20;3;5;15;15;216;5513;2;96561;7/1/2014;26;1000;200;3;11/3/2014;19/3/2014;1
21;13;4;13;1;11;3364;3;96633;8/1/2014;14;1000;102;3;16/1/2014;30/1/2014;13
22;13;4;13;1;11;1233;4;96693;8/1/2014;14;1000;102;3;19/1/2014;1/2/2014;13
23;12;4;7;2;17;998;1;96735;8/1/2014;14;1000;200;3;13/1/2014;25/1/2014;12
24;13;4;9;1;18;3114;4;96765;8/1/2014;14;1000;200;3;20/1/2014;30/1/2014;1
25;13;4;9;1;19;88;3;96778;8/1/2014;16;1004;303;3;25/1/2014;5/2/2014;1
26;3;5;15;15;216;882;3;96782;8/1/2014;26;1000;200;3;14/1/2014;30/1/2014;1
27;3;5;15;15;216;3112;3;96807;8/1/2014;26;1000;200;3;3/2/2014;10/2/2014;1
28;12;4;7;2;20;452;3;96837;9/1/2014;14;1000;200;3;11/1/2014;2/2/2014;14
29;13;4;9;1;20;5274;3;96884;9/1/2014;14;1000;303;3;26/1/2014;20/2/2014;1
30;13;4;13;1;11;5411;3;96897;9/1/2014;14;1001;400;3;1/2/2014;1/3/2014;1
31;12;4;9;1;11;3437;3;96939;9/1/2014;26;1000;200;3;26/1/2014;9/2/2014;15
32;12;4;9;1;11;4209;3;97016;9/1/2014;14;1000;200;3;11/1/2014;28/1/2014;12
33;3;5;15;15;216;3241;1;97046;10/1/2014;26;1000;200;3;19/1/2014;26/1/2014;1
34;12;4;7;2;21;239;1;97063;10/1/2014;16;1004;200;3;13/1/2014;23/1/2014;9
35;3;5;15;15;216;255;2;97093;10/1/2014;26;1000;200;3;14/1/2014;21/1/2014;1
36;3;5;15;15;216;55;2;97118;10/1/2014;26;1000;200;3;14/1/2014;21/1/2014;1
37;3;5;15;15;216;683;4;97135;10/1/2014;26;1000;200;3;10/1/2014;18/1/2014;1
38;3;5;15;15;216;894;4;97152;11/1/2014;26;1002;102;3;17/5/2014;2/6/2014;1
39;3;5;15;15;216;579;3;97165;11/1/2014;26;1002;102;3;23/2/2014;6/3/2014;1
40;12;4;9;1;11;4428;4;97182;11/1/2014;14;1000;200;3;14/1/2014;25/1/2014;14
41;12;4;9;1;11;2691;1;97211;11/1/2014;16;1000;200;3;3/2/2014;15/2/2014;12
42;12;4;9;1;11;5679;4;97373;12/1/2014;16;1000;200;3;26/2/2014;15/3/2014;14
43;13;4;9;1;24;2461;3;97458;13/1/2014;14;1002;200;3;25/1/2014;2/2/2014;1
44;13;4;9;1;24;2447;3;97462;13/1/2014;14;1002;200;3;25/1/2014;2/2/2014;1
45;13;4;9;1;18;3071;3;97475;13/1/2014;16;1002;200;3;20/1/2014;29/1/2014;1
46;13;4;9;1;18;2290;3;97488;13/1/2014;16;1002;200;3;20/1/2014;29/1/2014;1
47;13;4;9;1;25;713;3;97517;13/1/2014;16;1000;303;3;18/1/2014;2/2/2014;1
48;3;5;15;15;216;822;2;97521;13/1/2014;26;1004;200;3;18/1/2014;29/1/2014;1
49;3;5;15;15;216;2275;4;97534;13/1/2014;26;1000;200;3;15/1/2014;27/1/2014;1
50;12;4;7;2;52;2690;1;97577;13/1/2014;63;1000;200;3;16/3/2014;28/3/2014;14
51;12;4;7;2;316;2860;4;97606;14/1/2014;14;1000;200;3;15/1/2014;31/1/2014;12
52;3;5;15;15;216;1994;3;97619;14/1/2014;26;1001;400;3;20/2/2014;16/3/2014;1
53;13;4;9;1;41;1196;4;97623;14/1/2014;14;1004;200;3;27/2/2014;11/3/2014;1
54;13;4;13;1;11;2509;3;97679;14/1/2014;14;1002;200;3;24/1/2014;8/2/2014;11
55;13;4;13;1;11;2714;3;97708;14/1/2014;14;1000;200;3;1/2/2014;14/2/2014;10
56;13;4;9;1;12;485;4;97738;14/1/2014;16;1004;200;3;1/2/2014;8/2/2014;1
57;13;4;9;1;332;4190;3;97768;14/1/2014;16;1000;200;3;16/1/2014;23/1/2014;1
58;13;4;13;1;11;4020;3;97772;14/1/2014;14;1000;200;3;25/1/2014;6/2/2014;12
59;13;4;9;1;332;629;3;97785;14/1/2014;16;1000;200;3;16/1/2014;26/1/2014;1
60;13;4;9;1;332;1674;3;97798;14/1/2014;14;1000;200;3;15/1/2014;2/2/2014;8
61;13;4;9;1;24;1227;1;97844;15/1/2014;14;1002;200;3;15/1/2014;26/1/2014;1
62;13;4;9;1;81;509;4;97891;15/1/2014;14;1000;200;3;15/3/2014;23/3/2014;1
